"id";"area";"automovel";"concessionaria";"quantidade"
1;2;1;1;8
2;3;2;2;1
3;5;3;3;4
4;8;4;4;6
5;9;5;5;4
6;9;6;1;4
7;1;7;2;1
8;2;8;2;7
9;3;9;3;2
10;5;10;4;6
11;8;11;5;3
12;9;12;1;9
13;9;13;2;9
14;1;14;3;6
15;2;15;3;4
16;3;16;4;1
17;5;17;5;8
18;8;18;1;4
19;9;19;2;10
20;9;20;3;10
21;1;21;4;7
22;2;22;4;3
23;3;23;5;5
24;5;24;1;4
25;8;25;2;3
26;9;26;3;3
27;9;27;4;10
28;1;28;5;4
29;2;29;1;2
30;3;30;2;3
31;5;31;3;4
32;8;32;4;2
33;9;33;5;3
34;9;34;1;4
35;1;35;2;3
36;2;36;3;2
37;3;37;4;3
38;5;38;5;3
39;8;39;1;2
40;9;40;2;1
