"id";"modelo";"preco"
1;"Ford Mustang";" R$ 200.000,00 "
2;"Chevrolet Camaro";" R$ 180.000,00 "
3;"BMW M5";" R$ 250.000,00 "
4;"Audi R8";" R$ 300.000,00 "
5;"Mercedes-Benz S-Class";" R$ 350.000,00 "
6;"Porsche 911";" R$ 280.000,00 "
7;"Ferrari 458 Italia";" R$ 400.000,00 "
8;"Lamborghini Aventador";" R$ 500.000,00 "
9;"Bugatti Veyron";" R$ 2.500.000,00 "
10;"Rolls-Royce Phantom";" R$ 1.000.000,00 "
11;"Bentley Continental GT";" R$ 600.000,00 "
12;"Lexus LC";" R$ 300.000,00 "
13;"McLaren 720S";" R$ 900.000,00 "
14;"Aston Martin DB11";" R$ 700.000,00 "
15;"Jaguar F-Type";" R$ 400.000,00 "
16;"Tesla Model S";" R$ 350.000,00 "
17;"Maserati GranTurismo";" R$ 500.000,00 "
18;"Nissan GT-R";" R$ 300.000,00 "
19;"Acura NSX";" R$ 400.000,00 "
20;"Lotus Evora";" R$ 250.000,00 "
21;"Alfa Romeo Giulia";" R$ 280.000,00 "
22;"Koenigsegg Agera RS";" R$ 5.000.000,00 "
23;"Pagani Huayra";" R$ 3.500.000,00 "
24;"Fisker Karma";" R$ 1.500.000,00 "
25;"Lancia Stratos";" R$ 1.200.000,00 "
26;"Subaru Impreza";" R$ 150.000,00 "
27;"Mitsubishi Lancer Evolution";" R$ 200.000,00 "
28;"Volkswagen Golf R";" R$ 180.000,00 "
29;"Honda Civic Type R";" R$ 170.000,00 "
30;"Renault Megane RS";" R$ 160.000,00 "
31;"Ford Focus RS";" R$ 190.000,00 "
32;"Mini Cooper JCW";" R$ 150.000,00 "
33;"Hyundai Veloster N";" R$ 140.000,00 "
34;"Toyota Supra";" R$ 220.000,00 "
35;"Chevrolet Corvette";" R$ 250.000,00 "
36;"Dodge Challenger";" R$ 210.000,00 "
37;"Jeep Grand Cherokee Trackhawk";" R$ 300.000,00 "
38;"Land Rover Range Rover Sport SVR";" R$ 350.000,00 "
39;"Volvo XC90 Polestar";" R$ 280.000,00 "
40;"Audi RS6 Avant";" R$ 400.000,00 "
